Year,Month,Day,Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Rainy
-1.5002445250424674,-1.6012665275016236,-1.6738481167479609,-0.2854583066739155,-0.5714557615519077,-0.07827912166254855,-0.06427602179992115,-0.18411941650679675,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-1.5602200169650067,-0.134706134941748,-0.2056793082167113,-0.05123416637392006,0.18745286124862864,0.06322022894915899,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-1.4465919171820525,-0.235207582763193,-0.2702280940993924,0.002855744203335965,-0.08944891010477628,-0.2312317299269786,0.2192616315827954,0.630090336202113,0.42518377359242443,0.32467943115402687,1
-1.5002445250424674,-1.6012665275016236,-1.3329638173990983,-0.21008222080783132,-0.09809799841224173,-0.024189211085292525,-0.8194626709455713,-0.14878518144166017,-0.37680818444285546,-0.32031850617348673,-0.34271916784646833,-0.3548006617962872,1
-1.5002445250424674,-1.6012665275016236,-1.2193357176161441,-0.7377148218704199,-1.259976144300513,-0.40281858512608565,-0.5677337878970212,-0.8672479610994356,0.090381671361033,-0.29391826055194226,-0.15593196587484578,-0.005878451902882701,1
-1.5002445250424674,-1.6012665275016236,-1.10570761783319,-0.6623387360043357,-1.0448135246915737,-0.40281858512608565,-0.8446355592504264,-0.8672479610994356,2.7324208559071606,0.6036900905805687,0.4874461742496319,0.7837876020664012,1
-1.5002445250424674,-1.6012665275016236,-0.9920795180502355,-0.2854583066739155,-0.1411305223340294,-0.2675938086829451,-0.5425608995921664,-0.9496945095847544,-0.3284781993596945,-0.2675180149303978,-0.30121090074166335,-0.3180720081232973,1
-1.5002445250424674,-1.6012665275016236,-0.8784514182672813,-0.134706134941748,-0.012032950568665605,-0.15941398752843305,-0.19014046332419618,-0.2665659649921152,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-0.7648233184843272,-0.46133584036144476,-0.6144882854736954,-0.24054885339431756,-0.9453271124698464,-0.05456055460129605,0.02594169125015186,-0.003515558714953455,0.030855236096776765,0.04921452860660219,1
-1.5002445250424674,-1.6012665275016236,-0.651195218701373,-0.10958077298638627,-0.033549212529559835,-0.24054885339431756,-0.8194626709455713,-1.6328230541773934,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-0.5375671189184188,-0.1849568588524705,0.09554835923580397,-0.18645894281706057,0.036415531419498735,-0.05456055460129605,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-0.42393901913546456,-0.4110851164507222,-0.6360045474345896,-0.024189211085292525,0.13710708463891885,0.4872310497307973,-0.4251381695260163,-0.39951924303812,-0.40498156850367584,-0.40989364230577213,1
-1.5002445250424674,-1.6012665275016236,-0.3103109193525103,-0.26033294471855467,-0.42084192782565044,-0.05123416637392006,0.5398732975165988,1.1703595943234362,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-0.19668281956955622,-0.335709030584638,-0.46387445174743813,-0.24054885339431756,0.3133173027729037,0.616789911636298,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,-0.08305471978660198,-0.48646120231680645,-0.6575208093954831,-0.21350389810568907,0.26297152616319386,0.6639022250564799,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.030573379996352207,-0.48646120231680645,-0.5714557615519077,-0.3216837192602011,0.4643546326020341,0.4872310497307973,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.1442014797793064,-0.46133584036144476,-0.4853907137083316,-0.3487286745488296,0.615391962431164,0.4518968146656603,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.25782957956226066,-0.46133584036144476,-0.5499394995910135,-0.3216837192602011,0.716083515650584,0.7934610869619806,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.37145767934521484,-0.48646120231680645,-0.5069069756692258,-0.40281858512608565,0.3888359676874689,0.4872310497307973,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.485085779128169,-0.48646120231680645,-0.5069069756692258,-0.3757736298374581,0.5650461858214537,0.8759076354472987,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.5987138789111232,-0.5115865642721682,-0.4423581897865439,-0.3487286745488296,0.5650461858214537,0.581455676571161,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.7123419786940773,-0.5618372881828907,-0.7005533333172708,-0.5109984062805987,0.5398732975165988,0.4518968146656603,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.8259700784770315,-0.5115865642721682,-0.4853907137083316,-0.45690849570334163,0.4391817442971787,0.36945026618034227,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,0.9395981782599857,-0.5367119262275291,-0.6790370713563773,-0.42986354041471414,0.5398732975165988,0.7934610869619806,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.0532262780429398,-0.5115865642721682,-0.5499394995910135,-0.4839534509919701,0.21262574955348404,0.02788599388402239,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.166854377825894,-0.5618372881828907,-0.5069069756692258,-0.6191782274351108,0.13710708463891885,-0.05456055460129605,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.2804824776088481,-0.5115865642721682,-0.4423581897865439,-0.5650883168578547,0.5147004092117439,0.4872310497307973,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.3941105773918023,-0.335709030584638,-0.37780940390386203,-0.24054885339431756,0.590219074126309,1.0879130458381183,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.5077386771747567,-0.335709030584638,-0.22719557017760475,-0.29463876397157357,0.5650461858214537,0.8759076354472987,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.621366776957711,-0.46133584036144476,-0.09809799841224173,-0.6191782274351108,0.23779863785833896,0.9583541839326175,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.6012665275016236,1.734994876740665,-0.3859597544953614,-0.18416304625581706,-0.5921332721464823,0.41400885599232384,0.7934610869619806,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.3113126636944108,-1.6738481167479609,-0.46133584036144476,0.05251583531401629,-0.7003130933009952,0.16227997294377375,-0.019226319536159456,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.3113126636944108,-1.5602200169650067,-0.5115865642721682,-0.18416304625581706,-0.6191782274351108,0.061588419724353874,-0.14878518144166017,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.3113126636944108,-1.4465919171820525,-0.335709030584638,0.13858088315759168,-0.4839534509919701,-0.1397946867144861,-0.572796002223298,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.3113126636944108,-1.3329638173990983,-0.2854583066739155,0.24616219296206127,-0.45690849570334163,-0.1146217984096312,-0.44323714031779776,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.3113126636944108,-1.2193357176161441,-0.3608343925399997,0.07403209727490975,-0.5380433615692262,0.16227997294377375,-0.05456055460129605,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
-1.5002445250424674,-1.3113126636944108,-1.10570761783319,-0.3105836686292772,0.11706462119669743,-0.4839534509919701,0.036415531419498735,-0.14878518144166017,-0.48957814963689744,-0.5051202255242977,-0.48799810271328586,-0.483350949651752,0
